Time,SolarGeneration(MW), Air_Density(kg/m³), CloudCover, Humidity(%RH), Precipitaion(mm), Temperature(°C), WindSpeed(km/h),Surface_Pressure(hPa), Direct_radiation(W/m²)
1/1/2022 0:00,0,1.24,0.13,92,0,11.3,13.2,1010,0
1/1/2022 0:15,0,1.24,0.15,92,0,11,12.8,1010,0
1/1/2022 0:30,0,1.24,0.17,92,0,10.9,12.4,1010,0
1/1/2022 0:45,0,1.24,0.2,92,0,10.9,12.4,1010,0
1/1/2022 1:00,0,1.24,0.21,92,0,10.9,12.3,1010,0
1/1/2022 1:15,0,1.24,0.21,93,0,10.8,12.6,1010,0
1/1/2022 1:30,0,1.24,0.21,93,0,10.7,13,1010,0
1/1/2022 1:45,0,1.24,0.21,93,0,10.7,12.4,1010,0
1/1/2022 2:00,0,1.24,0.21,93,0,10.7,13.7,1010,0
1/1/2022 2:15,0,1.24,0.18,93,0,10.6,13.8,1010,0
1/1/2022 2:30,0,1.24,0.16,93,0,10.3,13.8,1010,0
1/1/2022 2:45,0,1.24,0.15,93,0,10.5,13.7,1010,0
1/1/2022 3:00,0,1.24,0.11,93,0,10.3,13.8,1010,0
1/1/2022 3:15,0,1.24,0.11,94,0,10.1,12.8,1010,0
1/1/2022 3:30,0,1.24,0.11,94,0,10,12.9,1010,0
1/1/2022 3:45,0,1.24,0.11,94,0,9.9,13.3,1010,0
1/1/2022 4:00,0,1.24,0.1,94,0,9.9,12.7,1010,0
1/1/2022 4:15,0,1.25,0.11,95,0,9.7,13.2,1011,0
1/1/2022 4:30,0,1.24,0.15,95,0,9.8,12.7,1011,0
1/1/2022 4:45,0,1.24,0.2,95,0,9.9,12.9,1011,0
1/1/2022 5:00,0,1.25,0.2,96,0,9.4,13.2,1011,0
1/1/2022 5:15,335,1.24,0.2,96,0,10.1,14.3,1012,107
1/1/2022 5:30,358,1.25,0.2,96,0,9.5,13.9,1011,114
1/1/2022 5:45,68.9,1.24,0.2,96,0,10.1,13.7,1011,22
1/1/2022 6:00,710,1.24,0.19,96,0,10.2,14.5,1012,227
1/1/2022 6:15,1080,1.24,0.2,89,0,11.8,13.6,1012,345
1/1/2022 6:30,925,1.23,0.22,91,0,12.3,12.8,1012,300
1/1/2022 6:45,1110,1.24,0.24,95,0,11.3,14,1012,362
1/1/2022 7:00,1130,1.23,0.24,86,0,12.4,12.6,1012,370
1/1/2022 7:15,1310,1.23,0.2,79,0,14,12.7,1012,422
1/1/2022 7:30,1520,1.23,0.23,86,0,13.1,12.7,1012,497
1/1/2022 7:45,1350,1.23,0.2,82,0,13.2,12.7,1012,434
1/1/2022 8:00,1550,1.23,0.18,76,0,14.3,12.8,1012,501
1/1/2022 8:15,1270,1.22,0.6,75,1,14.7,14.7,1012,499
1/1/2022 8:30,1320,1.22,0.51,73,1,14.8,13.5,1012,498
1/1/2022 8:45,1470,1.22,0.3,72,1,14.7,15.6,1012,497
1/1/2022 9:00,1260,1.22,0.6,67,1,15.7,16,1012,497
1/1/2022 9:15,1110,1.22,0.61,67,1,15.9,16.3,1012,442
1/1/2022 9:30,1210,1.22,0.61,65,1,15.8,17,1012,482
1/1/2022 9:45,1190,1.22,0.62,65,1,16,16.5,1012,476
1/1/2022 10:00,907,1.22,0.62,63,1,16.4,17.5,1011,363
1/1/2022 10:15,1050,1.21,0.74,63,1,16.9,19.4,1011,450
1/1/2022 10:30,1040,1.21,0.64,59,1,16.7,19.3,1011,419
